ID	NAME	NODEA	NODEB	PERMLANESA	PERMLANESB	LEFTPCKTSA	LEFTPCKTSB	RGHTPCKTSA	RGHTPCKTSB	TWOWAYTURN	LENGTH	GRADE	SETBACKA	SETBACKB	CAPACITYA	CAPACITYB	SPEEDLMTA	SPEEDLMTB	FREESPDA	FREESPDB	FUNCTCLASS	THRUA	THRUB	COLOR	VEHICLE	NOTES
100	[UNKNOWN]	10	40	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
200	[UNKNOWN]	20	50	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
300	[UNKNOWN]	30	60	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
400	[UNKNOWN]	40	70	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
401	[UNKNOWN]	40	50	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
500	[UNKNOWN]	50	80	0	1	0	0	0	0	0	999	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
501	[UNKNOWN]	50	40	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
502	[UNKNOWN]	50	60	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
600	[UNKNOWN]	60	90	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
601	[UNKNOWN]	60	50	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
700	[UNKNOWN]	70	100	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
701	[UNKNOWN]	70	80	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
800	[UNKNOWN]	80	110	0	1	0	0	0	0	0	999	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
801	[UNKNOWN]	80	70	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
802	[UNKNOWN]	80	90	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
900	[UNKNOWN]	90	120	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
901	[UNKNOWN]	90	80	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1000	[UNKNOWN]	100	130	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1001	[UNKNOWN]	100	110	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1100	[UNKNOWN]	110	140	0	1	0	0	0	0	0	999	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1101	[UNKNOWN]	110	100	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1102	[UNKNOWN]	110	120	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1200	[UNKNOWN]	120	150	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1201	[UNKNOWN]	120	110	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1300	[UNKNOWN]	130	160	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1301	[UNKNOWN]	130	140	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1400	[UNKNOWN]	140	170	0	1	0	0	0	0	0	999	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1401	[UNKNOWN]	140	130	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1402	[UNKNOWN]	140	150	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1500	[UNKNOWN]	150	180	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1501	[UNKNOWN]	150	140	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1600	[UNKNOWN]	160	190	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1601	[UNKNOWN]	160	170	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1700	[UNKNOWN]	170	200	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1701	[UNKNOWN]	170	160	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1702	[UNKNOWN]	170	180	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1800	[UNKNOWN]	180	210	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1801	[UNKNOWN]	180	170	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
1900	[UNKNOWN]	190	220	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
2000	[UNKNOWN]	200	230	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
2100	[UNKNOWN]	210	240	0	1	0	0	0	0	0	1000	0	0	0	0	21600	0	50	0	50	LOCAL	0	0	1	AUTO	
