VEHICLE	TIME	LINK	NODE	LANE	DISTANCE	VELOCITY	VEHTYPE	ACCELER	DRIVER	PASSENGERS	EASTING	NORTHING	ELEVATION	AZIMUTH	USER



0	60	100	10	1	457.5	7.5	1	0	0	0	457.5	1999	0	0	0
1	60	200	20	1	457.5	7.5	1	0	1	0	457.5	999	0	0	0
2	60	300	30	1	457.5	7.5	1	0	2	0	457.5	-1	0	0	0
3	60	400	40	1	457.5	7.5	1	0	3	0	1457.5	1999	0	0	0
4	60	401	40	1	457.5	7.5	1	0	4	0	997.907	1542.5	0	270	0
5	60	500	50	1	457.5	7.5	1	0	5	0	1457.5	999	0	0	0
6	60	501	50	1	457.5	7.5	1	0	6	0	1001.36	1457.5	0	90	0
7	60	502	50	1	457.5	7.5	1	0	7	0	997.907	542.504	0	270	0
8	60	600	60	1	457.5	7.5	1	0	8	0	1457.5	-1	0	0	0
9	60	601	60	1	457.5	7.5	1	0	9	0	1001.36	457.499	0	90	0
10	60	700	70	1	457.5	7.5	1	0	10	0	2457.5	1999	0	0	0
11	60	701	70	1	457.5	7.5	1	0	11	0	1997.91	1542.5	0	270	0
12	60	800	80	1	457.5	7.5	1	0	12	0	2457.5	999	0	0	0
13	60	801	80	1	457.5	7.5	1	0	13	0	2001.36	1457.5	0	90	0
14	60	802	80	1	457.5	7.5	1	0	14	0	1997.91	542.504	0	270	0
15	60	900	90	1	457.5	7.5	1	0	15	0	2457.5	-1	0	0	0
16	60	901	90	1	457.5	7.5	1	0	16	0	2001.36	457.499	0	90	0
17	60	1000	100	1	457.5	7.5	1	0	17	0	3457.5	1999	0	0	0
18	60	1001	100	1	457.5	7.5	1	0	18	0	2997.91	1542.5	0	270	0
19	60	1100	110	1	457.5	7.5	1	0	19	0	3457.5	999	0	0	0
20	60	1101	110	1	457.5	7.5	1	0	20	0	3001.36	1457.5	0	90	0
21	60	1102	110	1	457.5	7.5	1	0	21	0	2997.91	542.504	0	270	0
22	60	1200	120	1	457.5	7.5	1	0	22	0	3457.5	-1	0	0	0
23	60	1201	120	1	457.5	7.5	1	0	23	0	3001.36	457.499	0	90	0
24	60	1300	130	1	457.5	7.5	1	0	24	0	4457.5	1999	0	0	0
25	60	1301	130	1	457.5	7.5	1	0	25	0	3997.91	1542.5	0	270	0
26	60	1400	140	1	457.5	7.5	1	0	26	0	4457.5	999	0	0	0
27	60	1401	140	1	457.5	7.5	1	0	27	0	4001.36	1457.5	0	90	0
28	60	1402	140	1	457.5	7.5	1	0	28	0	3997.91	542.504	0	270	0
29	60	1500	150	1	457.5	7.5	1	0	29	0	4457.5	-1	0	0	0
30	60	1501	150	1	457.5	7.5	1	0	30	0	4001.36	457.499	0	90	0
31	60	1600	160	1	457.5	7.5	1	0	31	0	5457.5	1999	0	0	0
32	60	1601	160	1	457.5	7.5	1	0	32	0	4997.91	1542.5	0	270	0
33	60	1700	170	1	457.5	7.5	1	0	33	0	5457.5	999	0	0	0
34	60	1701	170	1	457.5	7.5	1	0	34	0	5001.36	1457.5	0	90	0
35	60	1702	170	1	457.5	7.5	1	0	35	0	4997.91	542.504	0	270	0
36	60	1800	180	1	457.5	7.5	1	0	36	0	5457.5	-1	0	0	0
37	60	1801	180	1	457.5	7.5	1	0	37	0	5001.36	457.499	0	90	0
38	60	1900	190	1	457.5	7.5	1	0	38	0	6457.5	1999	0	0	0
39	60	2000	200	1	457.5	7.5	1	0	39	0	6457.5	999	0	0	0
40	60	2100	210	1	457.5	7.5	1	0	40	0	6457.5	-1	0	0	0



